image_id,image_path,split,source,dataset,label_path,total_boxes,puffin_boxes,non_puffin_boxes,puffin_bin,distance,scene,difficulty,contains_puffin,density,occlusion,has_detection_overlay,text_prompt,notes
train_F5A0759-500x333_jpeg.rf.8db2cf4da60bec5d58e0c8daa6f7335b,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\F5A0759-500x333_jpeg.rf.8db2cf4da60bec5d58e0c8daa6f7335b.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\F5A0759-500x333_jpeg.rf.8db2cf4da60bec5d58e0c8daa6f7335b.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_voFFQtd_jpeg.rf.f46d84a6768edc4c6b592c6a86427b2c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\voFFQtd_jpeg.rf.f46d84a6768edc4c6b592c6a86427b2c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\voFFQtd_jpeg.rf.f46d84a6768edc4c6b592c6a86427b2c.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_DJI_20220726115346_0286_Z_JPG.rf.c775966acf3a2045ceb9c13d4991b2be,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\DJI_20220726115346_0286_Z_JPG.rf.c775966acf3a2045ceb9c13d4991b2be.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\DJI_20220726115346_0286_Z_JPG.rf.c775966acf3a2045ceb9c13d4991b2be.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_Screenshot-2023-04-10-at-8-47-18-PM_png.rf.40d1b09f7acf2bd547cacc43a811e8c1,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-47-18-PM_png.rf.40d1b09f7acf2bd547cacc43a811e8c1.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-47-18-PM_png.rf.40d1b09f7acf2bd547cacc43a811e8c1.txt,10,10,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_Screenshot-2023-04-10-at-8-24-00-PM_png.rf.f3d9ad855a0e3fa1d5e8bf98d4570b7a,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-24-00-PM_png.rf.f3d9ad855a0e3fa1d5e8bf98d4570b7a.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-24-00-PM_png.rf.f3d9ad855a0e3fa1d5e8bf98d4570b7a.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Screenshot-2020-03-20-at-18-26-46-1920w_png.rf.cf28344cd4f59d1ba44141844f790825,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2020-03-20-at-18-26-46-1920w_png.rf.cf28344cd4f59d1ba44141844f790825.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2020-03-20-at-18-26-46-1920w_png.rf.cf28344cd4f59d1ba44141844f790825.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_DJI_20220726115356_0291_Z_JPG.rf.b59d9fd0070bf92cffe581bcb71afa3c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\DJI_20220726115356_0291_Z_JPG.rf.b59d9fd0070bf92cffe581bcb71afa3c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\DJI_20220726115356_0291_Z_JPG.rf.b59d9fd0070bf92cffe581bcb71afa3c.txt,4,4,0,few,,,,yes,few,,no,a photo containing a few puffins,
test_pic33_png.rf.796442947dd285a664bc067b41fcf6b3,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\pic33_png.rf.796442947dd285a664bc067b41fcf6b3.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\pic33_png.rf.796442947dd285a664bc067b41fcf6b3.txt,15,0,15,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
test_puffin_burrows_newfoundland_jpeg.rf.61bbc3009928cd9e947f043209c17f34,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\puffin_burrows_newfoundland_jpeg.rf.61bbc3009928cd9e947f043209c17f34.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\puffin_burrows_newfoundland_jpeg.rf.61bbc3009928cd9e947f043209c17f34.txt,3,3,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_Screenshot-2023-04-10-at-8-44-55-PM_png.rf.957aeeb6daa97ab1d1c2206067680783,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-44-55-PM_png.rf.957aeeb6daa97ab1d1c2206067680783.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-44-55-PM_png.rf.957aeeb6daa97ab1d1c2206067680783.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Screenshot-2023-04-10-at-8-48-16-PM_png.rf.28bfa63df3edffc629911d32a0af755e,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-48-16-PM_png.rf.28bfa63df3edffc629911d32a0af755e.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-48-16-PM_png.rf.28bfa63df3edffc629911d32a0af755e.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_20180518_124828_jpeg.rf.03fe667675fcb20b11736c144fa5009c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\20180518_124828_jpeg.rf.03fe667675fcb20b11736c144fa5009c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\20180518_124828_jpeg.rf.03fe667675fcb20b11736c144fa5009c.txt,18,0,18,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
valid_razorbill18_png.rf.fc954ba94de9430dc78055962b9a198e,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\razorbill18_png.rf.fc954ba94de9430dc78055962b9a198e.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\razorbill18_png.rf.fc954ba94de9430dc78055962b9a198e.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
test_macareux-moine4_jpeg.rf.8ec177e83799a9a91aa787ccc590e0fc,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\macareux-moine4_jpeg.rf.8ec177e83799a9a91aa787ccc590e0fc.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\macareux-moine4_jpeg.rf.8ec177e83799a9a91aa787ccc590e0fc.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Picture15_png.rf.17abeb2c6c3a65a4663016d2ef10d04e,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Picture15_png.rf.17abeb2c6c3a65a4663016d2ef10d04e.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Picture15_png.rf.17abeb2c6c3a65a4663016d2ef10d04e.txt,7,0,7,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_Screenshot-2023-04-10-at-8-35-43-PM_png.rf.42160c47991b4557310e945a0d4fd847,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-35-43-PM_png.rf.42160c47991b4557310e945a0d4fd847.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-35-43-PM_png.rf.42160c47991b4557310e945a0d4fd847.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_kittiwake59_png.rf.6953763c6335b44172f252941b649cbf,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\kittiwake59_png.rf.6953763c6335b44172f252941b649cbf.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\kittiwake59_png.rf.6953763c6335b44172f252941b649cbf.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_fullmar53_png.rf.85f656cf5f00c53a1f38fee5a1fa10d6,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\fullmar53_png.rf.85f656cf5f00c53a1f38fee5a1fa10d6.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\fullmar53_png.rf.85f656cf5f00c53a1f38fee5a1fa10d6.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_troup-252520head-252520223_jpeg.rf.e75866613d36ef5a2e9475a69de65b62,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\troup-252520head-252520223_jpeg.rf.e75866613d36ef5a2e9475a69de65b62.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\troup-252520head-252520223_jpeg.rf.e75866613d36ef5a2e9475a69de65b62.txt,3,0,3,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_watermark_jpeg.rf.7ce3c43e4ea50e1d989a6406ea58ded4,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\watermark_jpeg.rf.7ce3c43e4ea50e1d989a6406ea58ded4.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\watermark_jpeg.rf.7ce3c43e4ea50e1d989a6406ea58ded4.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_loader_jpeg.rf.7467f6555929720222510240d3c77b62,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\loader_jpeg.rf.7467f6555929720222510240d3c77b62.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\loader_jpeg.rf.7467f6555929720222510240d3c77b62.txt,5,5,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_macareux-couple_jpeg.rf.60c7b8282b503088fb4a8845f6aec6df,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\macareux-couple_jpeg.rf.60c7b8282b503088fb4a8845f6aec6df.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\macareux-couple_jpeg.rf.60c7b8282b503088fb4a8845f6aec6df.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_macareux-couple_jpeg.rf.b33c04e4dfec43e54400e6c74aca604c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\macareux-couple_jpeg.rf.b33c04e4dfec43e54400e6c74aca604c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\macareux-couple_jpeg.rf.b33c04e4dfec43e54400e6c74aca604c.txt,2,2,0,few,,,,yes,few,,no,a photo containing a few puffins,
train_voFFQtd_jpeg.rf.7c20becbf0708995a510bd63404ddf30,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\voFFQtd_jpeg.rf.7c20becbf0708995a510bd63404ddf30.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\voFFQtd_jpeg.rf.7c20becbf0708995a510bd63404ddf30.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_Atlantic-Puffins-Machias-Seal-Island-Gerard-Monteux_jpeg.rf.1d9a6fb832d27d3df504e5326da0d6a9,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Atlantic-Puffins-Machias-Seal-Island-Gerard-Monteux_jpeg.rf.1d9a6fb832d27d3df504e5326da0d6a9.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Atlantic-Puffins-Machias-Seal-Island-Gerard-Monteux_jpeg.rf.1d9a6fb832d27d3df504e5326da0d6a9.txt,8,8,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_Screenshot-2020-03-20-at-18-25-31-1920w_png.rf.22f365f8f5b83351ec52803a194bd378,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2020-03-20-at-18-25-31-1920w_png.rf.22f365f8f5b83351ec52803a194bd378.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2020-03-20-at-18-25-31-1920w_png.rf.22f365f8f5b83351ec52803a194bd378.txt,4,4,0,few,,,,yes,few,,no,a photo containing a few puffins,
valid_razorbill34_png.rf.58ce18d4cba381e796ee0b1220c33a9c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\razorbill34_png.rf.58ce18d4cba381e796ee0b1220c33a9c.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\razorbill34_png.rf.58ce18d4cba381e796ee0b1220c33a9c.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_razorbill15_png.rf.7b39d9522c1ebca87262e0554d1c9d12,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\razorbill15_png.rf.7b39d9522c1ebca87262e0554d1c9d12.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\razorbill15_png.rf.7b39d9522c1ebca87262e0554d1c9d12.txt,18,16,2,group,,,,yes,group,,no,a photo containing a group of puffins,
valid_9294_jpeg.rf.56aa2bced257c1e755b07b11191eb5bf,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\9294_jpeg.rf.56aa2bced257c1e755b07b11191eb5bf.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\9294_jpeg.rf.56aa2bced257c1e755b07b11191eb5bf.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_macareux-groupe-herbe_jpeg.rf.0a965f8d265811637390db296c569f13,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\macareux-groupe-herbe_jpeg.rf.0a965f8d265811637390db296c569f13.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\macareux-groupe-herbe_jpeg.rf.0a965f8d265811637390db296c569f13.txt,16,16,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_MM9216_210804_020634-crop_jpeg.rf.08f97f37cdafe7b0e13980a3ed941f6f,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\MM9216_210804_020634-crop_jpeg.rf.08f97f37cdafe7b0e13980a3ed941f6f.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\MM9216_210804_020634-crop_jpeg.rf.08f97f37cdafe7b0e13980a3ed941f6f.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
valid_AtlanticPuffin5_jpeg.rf.9d47b39f1aa38408f37e9f83420380ce,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\AtlanticPuffin5_jpeg.rf.9d47b39f1aa38408f37e9f83420380ce.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\AtlanticPuffin5_jpeg.rf.9d47b39f1aa38408f37e9f83420380ce.txt,7,7,0,group,,,,yes,group,,no,a photo containing a group of puffins,
test_Screenshot-2023-04-10-at-8-47-06-PM_png.rf.574415fa69101a739992a18719087531,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\images\Screenshot-2023-04-10-at-8-47-06-PM_png.rf.574415fa69101a739992a18719087531.jpg,test,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\test\labels\Screenshot-2023-04-10-at-8-47-06-PM_png.rf.574415fa69101a739992a18719087531.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_fullmar40_png.rf.285945e4fb1de641c110b6bcc4e2d447,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\fullmar40_png.rf.285945e4fb1de641c110b6bcc4e2d447.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\fullmar40_png.rf.285945e4fb1de641c110b6bcc4e2d447.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_IMG_8365-2-_JPG.rf.f91a2cc54d2bcda06795f5d614bde254,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\IMG_8365-2-_JPG.rf.f91a2cc54d2bcda06795f5d614bde254.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\IMG_8365-2-_JPG.rf.f91a2cc54d2bcda06795f5d614bde254.txt,2,0,2,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
valid_razorbill31_png.rf.e0096288a8d1d611fc5e95171e79067f,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\images\razorbill31_png.rf.e0096288a8d1d611fc5e95171e79067f.jpg,valid,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\valid\labels\razorbill31_png.rf.e0096288a8d1d611fc5e95171e79067f.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_Screenshot-2023-04-10-at-8-46-27-PM_png.rf.cb7f3ae8e24718073756e928add3a589,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\Screenshot-2023-04-10-at-8-46-27-PM_png.rf.cb7f3ae8e24718073756e928add3a589.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\Screenshot-2023-04-10-at-8-46-27-PM_png.rf.cb7f3ae8e24718073756e928add3a589.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
train_2f3x17h_jpg.rf.5c3ce89d0825845029c978d4f29d47ee,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\2f3x17h_jpg.rf.5c3ce89d0825845029c978d4f29d47ee.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\2f3x17h_jpg.rf.5c3ce89d0825845029c978d4f29d47ee.txt,1,0,1,none,,,,no,none,,no,a seabird habitat image with no labeled puffin,
train_DJI_20220726115310_0268_Z_JPG.rf.d2d735e46b971e9092372af2789dfe8c,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\DJI_20220726115310_0268_Z_JPG.rf.d2d735e46b971e9092372af2789dfe8c.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\DJI_20220726115310_0268_Z_JPG.rf.d2d735e46b971e9092372af2789dfe8c.txt,8,8,0,group,,,,yes,group,,no,a photo containing a group of puffins,
train_oICCmwc_jpeg.rf.b2ae73e115165f8d948b0de2f356db55,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\images\oICCmwc_jpeg.rf.b2ae73e115165f8d948b0de2f356db55.jpg,train,original,Seabirds.v6i.yolo26,R:\mlcv-labs\workspace\final-demo\data\Seabirds.v6i.yolo26\train\labels\oICCmwc_jpeg.rf.b2ae73e115165f8d948b0de2f356db55.txt,1,1,0,single,,,,yes,single,,no,a photo containing a single puffin,
